feature,coefficient,abs_coefficient
cat__sector_Energy,0.8607413678167062,0.8607413678167062
num__mkt_volatility_60d,-0.8272211688564287,0.8272211688564287
num__log_price_slope_60d,0.8232415693997011,0.8232415693997011
num__trailing_max_drawdown_252d,0.7865954978520997,0.7865954978520997
num__rel_slope_60d_vs_mkt,-0.7501121556610565,0.7501121556610565
num__log_price_slope_20d,0.7110332697892484,0.7110332697892484
num__rel_slope_20d_vs_mkt,-0.5437806744373095,0.5437806744373095
num__mkt_ret_20d,-0.4684921502057374,0.4684921502057374
num__trailing_max_drawdown_60d,-0.4316170395238194,0.4316170395238194
num__rel_drawdown_252d_vs_mkt,-0.404988054278607,0.404988054278607
num__rel_drawdown_252d_vs_sector,-0.3481135929361021,0.3481135929361021
num__rel_slope_20d_vs_sector,-0.3457915819576222,0.3457915819576222
num__vol_ratio_60d_vs_mkt,0.3349841585075729,0.3349841585075729
cat__sector_Consumer Staples,-0.33181685359331625,0.33181685359331625
num__mkt_ret_60d,0.3287880024741442,0.3287880024741442
num__regime_mkt_stress,0.3273875318316247,0.3273875318316247
num__rel_ret_60d_vs_sector_xsrank,-0.3208801739157077,0.3208801739157077
num__intraday_range,0.3134819555972503,0.3134819555972503
num__trend_accel_20_60,0.30969043574584226,0.30969043574584226
num__vol_ratio_20d_vs_mkt,-0.30845219071086777,0.30845219071086777
num__corr_60d_vs_sector,-0.29898715076104665,0.29898715076104665
cat__sector_Communication Services,-0.29830138106818843,0.29830138106818843
num__beta_60d_vs_mkt,0.29241932018174593,0.29241932018174593
cat__sector_Real Estate,-0.28785679752434695,0.28785679752434695
num__corr_60d_vs_mkt,-0.2787394015967013,0.2787394015967013
cat__sector_Basic Materials,0.26127696203028583,0.26127696203028583
num__rel_drawdown_60d_vs_sector_xsrank,0.26074532204122675,0.26074532204122675
cat__country_CA,-0.25281005374366905,0.25281005374366905
num__volume_spike_20d,-0.24929716067745006,0.24929716067745006
num__rel_ret_60d_vs_sector,0.24764065374144137,0.24764065374144137
num__dist_from_252d_high,-0.2440687504974528,0.2440687504974528
num__ret_5d,-0.2432047342031198,0.2432047342031198
cat__country_US,0.23723066732109713,0.23723066732109713
num__ma20_to_ma60,0.23296086629081864,0.23296086629081864
num__sector_ret_60d,-0.21147679534263303,0.21147679534263303
num__avg_intraday_range_20d,-0.20186321734845608,0.20186321734845608
num__sector_ret_20d,-0.20109055061949901,0.20109055061949901
num__rel_ret_20d_vs_mkt,0.20066222500873643,0.20066222500873643
num__mkt_volatility_20d,0.19954693632159212,0.19954693632159212
regime_vol__regime_vol_elevated,-0.19916254517927107,0.19916254517927107
num__rel_drawdown_60d_vs_sector,-0.19653588391356364,0.19653588391356364
num__idio_vol_60d_vs_mkt,-0.19324549722014206,0.19324549722014206
num__idio_vol_60d_vs_sector,-0.19263171339346982,0.19263171339346982
num__rel_ret_60d_vs_mkt_xsrank,0.18758139533111123,0.18758139533111123
cat__sector_Health Care,-0.17954379749449992,0.17954379749449992
num__mkt_ret_1d,-0.1788362132182309,0.1788362132182309
num__rel_slope_60d_vs_sector,-0.17732912388057093,0.17732912388057093
num__volatility_20d,0.1747905510120268,0.1747905510120268
num__price_to_ma60,0.16949439581067696,0.16949439581067696
num__log_price_slope_60d_xsrank,-0.1674150266238439,0.1674150266238439
num__short_interest_ratio_xsrank,-0.15590316529795978,0.15590316529795978
num__rel_drawdown_60d_vs_mkt_xsrank,-0.14721028887776985,0.14721028887776985
num__days_since_60d_high,-0.1438751637268808,0.1438751637268808
num__sector_ret_1d,0.14197837213070508,0.14197837213070508
num__sir_zscore_1y,-0.13852412910472092,0.13852412910472092
num__sector_volatility_60d,0.13766026543858956,0.13766026543858956
num__short_interest_ratio,0.13713292679897315,0.13713292679897315
num__downside_vol_60d,0.12450186671219061,0.12450186671219061
num__price_to_ma120_xsrank,0.12199530449163346,0.12199530449163346
num__rel_ret_60d_vs_mkt,-0.11959788781474877,0.11959788781474877
num__beta_60d_vs_sector,0.11067539600480551,0.11067539600480551
num__ret_20d_xsrank,-0.10480549106324567,0.10480549106324567
num__sir_zscore_1y_xsrank,0.1032641026860027,0.1032641026860027
num__sector_ret_120d,-0.10317135698249803,0.10317135698249803
num__sector_volatility_20d,-0.10159187201198919,0.10159187201198919
num__mkt_ret_120d,-0.09629073069201066,0.09629073069201066
num__dist_from_252d_high_xsrank,0.09548471595745396,0.09548471595745396
num__vol_ratio_60d_vs_sector,-0.08302489864924469,0.08302489864924469
num__volatility_60d_xsrank,0.08134368859233593,0.08134368859233593
num__upside_vol_60d,0.08117936082939146,0.08117936082939146
num__rel_ret_20d_vs_sector,0.08002715932213561,0.08002715932213561
num__log_price_slope_120d,0.07872758612805814,0.07872758612805814
num__avg_volume_60d,-0.07692173456411894,0.07692173456411894
num__ret_20d,-0.0715970704673227,0.0715970704673227
num__avg_volume_20d,0.06994784432601608,0.06994784432601608
num__rel_drawdown_60d_vs_mkt,0.06757710534427408,0.06757710534427408
num__rel_ret_120d_vs_sector,0.06557949110091163,0.06557949110091163
num__log_price_slope_120d_xsrank,0.06522265412909022,0.06522265412909022
num__price_to_ma20,-0.06303477665790583,0.06303477665790583
cat__sector_Consumer Cyclical,-0.06256351774696708,0.06256351774696708
num__return_skew_20d,-0.06136230827195951,0.06136230827195951
num__ret_60d,0.05937313586346958,0.05937313586346958
num__si_chg_3period,0.0583561727522002,0.0583561727522002
num__price_to_ma60_xsrank,0.05761677094403758,0.05761677094403758
num__downside_vol_60d_xsrank,-0.05086994046961565,0.05086994046961565
cat__sector_Materials,0.050810989159320585,0.050810989159320585
num__gap_open_prev_close,0.050177619366705395,0.050177619366705395
num__price_to_ma120,0.04645386898653027,0.04645386898653027
num__ma60_to_ma120,-0.04359248552555553,0.04359248552555553
num__volatility_60d,-0.04339824638723308,0.04339824638723308
num__dist_from_60d_high,0.04132024461482346,0.04132024461482346
num__rel_ret_120d_vs_mkt_xsrank,0.03802754178841263,0.03802754178841263
num__rel_ret_120d_vs_mkt,0.037480191432927794,0.037480191432927794
num__si_chg_1period,-0.03364593066448708,0.03364593066448708
num__trailing_max_drawdown_60d_xsrank,0.03355890062251579,0.03355890062251579
num__idio_vol_60d_vs_mkt_xsrank,-0.03157394877085333,0.03157394877085333
num__trailing_max_drawdown_252d_xsrank,0.03119549112328009,0.03119549112328009
num__days_since_252d_high,0.030972178084768348,0.030972178084768348
cat__sector_Utilities,-0.03066934315075125,0.03066934315075125
num__regime_mkt_uptrend,0.028182322475562058,0.028182322475562058
num__avg_dollar_volume_20d,-0.027938864950552967,0.027938864950552967
cat__sector_Financials,-0.02551920646796727,0.02551920646796727
num__dist_from_60d_high_xsrank,-0.025431598737276708,0.025431598737276708
num__ret_60d_xsrank,-0.02511258413644081,0.02511258413644081
num__vol_ratio_20d_vs_sector,0.023607744304366976,0.023607744304366976
num__ret_120d_xsrank,-0.022666699383016187,0.022666699383016187
num__ret_1d,-0.022183031803159895,0.022183031803159895
num__return_skew_60d,-0.018260567020886874,0.018260567020886874
num__rel_drawdown_252d_vs_mkt_xsrank,0.01727217061909931,0.01727217061909931
cat__sector_Financial Services,0.01479791512132799,0.01479791512132799
cat__sector_Consumer Discretionary,0.011344753986476563,0.011344753986476563
num__downside_upside_vol_ratio_60d,0.011002272748204414,0.011002272748204414
cat__sector_Information Technology,0.007807158770544095,0.007807158770544095
num__ret_120d,-0.006745861454644137,0.006745861454644137
cat__sector_Industrials,-0.006087636261205259,0.006087636261205259
num__debt_to_equity,0.0,0.0
num__operating_margin,0.0,0.0
num__gross_margin,0.0,0.0
num__interest_coverage,0.0,0.0
num__revenue_growth_decel,0.0,0.0
num__revenue_growth_yoy,0.0,0.0
num__current_ratio,0.0,0.0
